source_vintage,source_hs8,hs8_2022,match_type
2017,03071100,03071100,identity
2017,03071200,03071200,identity
2017,03071901,03071901,identity
2017,03072100,03072101,concordance
2017,03072200,03072201,concordance
2017,03072901,03072991,concordance
2017,03073100,03073100,identity
2017,03073200,03073200,identity
2017,03073951,03073951,identity
2017,03074200,03074200,identity
2017,03074300,03074300,identity
2017,03074951,03074951,identity
2017,03075100,03075100,identity
2017,03075200,03075200,identity
2017,03075951,03075951,identity
2017,03076060,03076060,identity
2017,03077100,03077100,identity
2017,03077200,03077200,identity
2017,03077901,03077901,identity
2017,03078100,03078100,identity
2017,03078200,03078200,identity
2017,03078300,03078300,identity
2017,03078400,03078400,identity
2017,03078700,03078700,identity
2017,03078800,03078800,identity
2017,03079101,03072101,concordance_split
2017,03079101,03079111,concordance_split
2017,03079101,03099090,concordance_split
2017,03079200,03072201,concordance_split
2017,03079200,03079201,concordance_split
2017,03079200,03099090,concordance_split
2017,03079901,03072991,concordance_split
2017,03079901,03079992,concordance_split
2017,03079901,03099090,concordance_split
2017,03081100,03081100,identity
2017,03081200,03081200,identity
2017,03081901,03081901,identity
2017,03082100,03082100,identity
2017,03082200,03082200,identity
2017,03082901,03082901,identity
2017,03083000,03083000,identity
2017,03089000,03089090,concordance_split
2017,03089000,03099090,concordance_split
2017,04011000,04011000,identity
2017,04012000,04012000,identity
2017,04014000,04014000,identity
2017,04015000,04015000,identity
2017,04021010,04021010,identity
2017,04021090,04021090,identity
2017,04022120,04022120,identity
2017,04022150,04022150,identity
2017,04022920,04022920,identity
2017,04022930,04022930,identity
2017,04022990,04022990,identity
2017,04029130,04029130,identity
2017,04029900,04029900,identity
2017,04031000,04032001,concordance
2017,04039020,04039020,identity
2017,04041000,04041000,identity
2017,04049001,04049001,identity
2017,04051000,04051000,identity
2017,04052000,04052000,identity
2017,04059000,04059000,identity
2017,04061000,04061000,identity
2017,04062000,04062000,identity
2017,04063014,04063014,identity
2017,04063021,04063021,identity
2017,04063029,04063029,identity
2017,04064000,04064000,identity
2017,04069010,04069010,identity
2017,04069090,04069090,identity
2017,04071100,04071100,identity
2017,04071900,04071900,identity
2017,04072100,04072100,identity
2017,04072900,04072900,identity
2017,04079000,04079000,identity
2017,04081100,04081100,identity
2017,04081900,04081900,identity
2017,04089100,04089100,identity
2017,04089900,04089900,identity
2017,04090010,04090010,identity
2017,04090020,04090020,identity
2017,04090030,04090030,identity
2017,04100000,04101010,concordance_split
2017,04100000,04109090,concordance_split
2017,05010000,05010000,identity
2017,05021000,05021000,identity
2017,05029000,05029000,identity
2017,05040010,05040010,identity
2017,05040016,05040016,identity
2017,05040031,05040031,identity
2017,05040092,05040092,identity
2017,05051000,05051000,identity
2017,05059001,05059001,identity
2017,05059002,05059002,identity
2017,05061000,05061000,identity
2017,05069000,05069000,identity
2017,05071000,05071000,identity
2017,05079000,05079000,identity
2017,05080020,05080020,identity
2017,05100000,05100000,identity
2017,05111000,05111000,identity
2017,05119110,05119110,identity
2017,05119941,05119941,identity
2017,05119942,05119942,identity
2017,06011000,06011000,identity
2017,06012000,06012000,identity
2017,06021000,06021000,identity
2017,06022000,06022000,identity
2017,06023000,06023000,identity
2017,06024000,06024000,identity
2017,06029095,06029095,identity
2017,06031110,06031110,identity
2017,06031220,06031220,identity
2017,06031330,06031330,identity
2017,06031440,06031440,identity
2017,06031500,06031500,identity
2017,06031920,06031920,identity
2017,06031951,06031951,identity
2017,06031960,06031960,identity
2017,06031970,06031970,identity
2017,06039030,06039030,identity
2017,06042000,06042000,identity
2017,06049000,06049000,identity
2017,07011000,07011000,identity
2017,07019000,07019000,identity
2017,07020000,07020000,identity
2017,07031011,07031011,identity
2017,07031016,07031016,identity
2017,07032000,07032000,identity
2017,07039000,07039000,identity
2017,07041000,07041021,concordance
2017,07042000,07042000,identity
2017,07049000,07041021,concordance_split
2017,07049000,07049091,concordance_split
2017,07051100,07051100,identity
2017,07051900,07051900,identity
2017,07052100,07052100,identity
2017,07052900,07052900,identity
2017,07061000,07061000,identity
2017,07069000,07069000,identity
2017,07070000,07070000,identity
2017,07081000,07081000,identity
2017,07082000,07082000,identity
2017,07089000,07089000,identity
2017,07092000,07092000,identity
2017,07093000,07093000,identity
2017,07094000,07094000,identity
2017,07095115,07095115,identity
2017,07095930,07095201,concordance_split
2017,07095930,07095301,concordance_split
2017,07095930,07095401,concordance_split
2017,07095930,07095501,concordance_split
2017,07095930,07095601,concordance_split
2017,07095930,07095991,concordance_split
2017,07096000,07096000,identity
2017,07097000,07097000,identity
2017,07099100,07099100,identity
2017,07099200,07099200,identity
