category_code,category_description,category_hierarchy,hs8
02043000,"Carcasses and half-carcasses of lamb, frozen",Export Statistical Item,02043000
02044,"Other meat of sheep, frozen:",HS Code,02044100
02044,"Other meat of sheep, frozen:",HS Code,02044210
02044,"Other meat of sheep, frozen:",HS Code,02044220
02044,"Other meat of sheep, frozen:",HS Code,02044310
02044,"Other meat of sheep, frozen:",HS Code,02044320
020441,Carcasses and half-carcasses,HS Code,02044100
02044100,Carcasses and half-carcasses,Export Statistical Item,02044100
020442,Other cuts with bone in:,HS Code,02044210
020442,Other cuts with bone in:,HS Code,02044220
02044210,Lamb,Export Statistical Item,02044210
02044220,Mutton,Export Statistical Item,02044220
020443,Boneless:,HS Code,02044310
020443,Boneless:,HS Code,02044320
02044310,Lamb,Export Statistical Item,02044310
02044320,Mutton,Export Statistical Item,02044320
020450,Meat of goats,HS Code,02045000
02045000,Meat of goats,Export Statistical Item,02045000
0205,"MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",Heading,02050000
020500,"MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",HS Code,02050000
02050000,"MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",Export Statistical Item,02050000
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02061000
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02062100
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02062200
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02062900
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02063000
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02064100
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02064900
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02068000
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN:",Heading,02069000
020610,"Of bovine animals, fresh or chilled",HS Code,02061000
02061000,"Of bovine animals, fresh or chilled",Export Statistical Item,02061000
02062,"Of bovine animals, frozen:",HS Code,02062100
